openrouter_id,display_name,is_active,description,context_length,input_price_usd_million,output_price_usd_million,is_multimodal,cost_band,is_free,supports_reasoning,supports_pdf,current_elo_score,created_at,updated_at,matched_lmsys_model,matched_elo_score,match_confidence,match_reasoning,lmsys_rank,lmsys_organization,has_elo_match
allenai/olmo-7b-instruct,OLMo 7B Instruct,YES,"OLMo 7B Instruct by the Allen Institute for AI is a model finetuned for question answering. It demonstrates **notable performance** across multiple benchmarks including TruthfulQA and ToxiGen.

**Open Source**: The model, its code, checkpoints, logs are released under the [Apache 2.0 license](https://choosealicense.com/licenses/apache-2.0).

- [Core repo (training, inference, fine-tuning etc.)](https://github.com/allenai/OLMo)
- [Evaluation code](https://github.com/allenai/OLMo-Eval)
- [Further fine-tuning code](https://github.com/allenai/open-instruct)
- [Paper](https://arxiv.org/abs/2402.00838)
- [Technical blog post](https://blog.allenai.org/olmo-open-language-model-87ccfc95f580)
- [W&B Logs](https://wandb.ai/ai2-llm/OLMo-7B/reports/OLMo-7B--Vmlldzo2NzQyMzk5)",2048,0.16,0.48,NO,$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 17:00:10.830058,OLMo-7B-instruct,1012,96.0%,Exact variant match; High string similarity; Same model family,181,Allen AI,YES
alpindale/goliath-120b,Goliath 120B,YES,"A large LLM created by combining two fine-tuned Llama 70B models into one 120B model. Combines Xwin and Euryale.

Credits to
- [@chargoddard](https://huggingface.co/chargoddard) for developing the framework used to merge the model - [mergekit](https://github.com/cg123/mergekit).
- [@Undi95](https://huggingface.co/Undi95) for helping with the merge ratios.

#merge",6144,20.0,25.0,NO,$$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 17:00:20.729861,,,,No confident match found,,,NO
alpindale/magnum-72b,Magnum 72B,YES,"From the maker of [Goliath](https://openrouter.ai/models/alpindale/goliath-120b), Magnum 72B is the first in a new family of models designed to achieve the prose quality of the Claude 3 models, notably Opus & Sonnet.

The model is based on [Qwen2 72B](https://openrouter.ai/models/qwen/qwen-2-72b-instruct) and trained with 55 million tokens of highly curated roleplay (RP) data.",16384,8.0,12.0,NO,$$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 17:00:03.629741,,,,No confident match found,,,NO
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,YES,"Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing of image, video, and text inputs to generate text output. Amazon Nova Lite can handle real-time customer interactions, document analysis, and visual question-answering tasks with high accuracy.

With an input context of 300K tokens, it can analyze multiple images or up to 30 minutes of video in a single input.",300000,0.12,0.48,YES,$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:42.829927,Amazon Nova Lite 1.0,1213,109.6%,Exact variant match; Strong feature alignment; High string similarity; Same model family,84,Amazon,YES
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,YES,"Amazon Nova Micro 1.0 is a text-only model that delivers the lowest latency responses in the Amazon Nova family of models at a very low cost. With a context length of 128K tokens and optimized for speed and cost, Amazon Nova Micro excels at tasks such as text summarization, translation, content classification, interactive chat, and brainstorming. It has  simple mathematical reasoning and coding abilities.",128000,0.07,0.28,NO,$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:43.129831,Amazon Nova Micro 1.0,1194,109.6%,Exact variant match; Strong feature alignment; High string similarity; Same model family,96,Amazon,YES
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,YES,"Amazon Nova Pro 1.0 is a capable multimodal model from Amazon focused on providing a combination of accuracy, speed, and cost for a wide range of tasks. As of December 2024, it achieves state-of-the-art performance on key benchmarks including visual question answering (TextVQA) and video understanding (VATEX).

Amazon Nova Pro demonstrates strong capabilities in processing both visual and textual information and at analyzing financial documents.

**NOTE**: Video input is not supported at this time.",300000,1.5999999999999999,6.3999999999999995,YES,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:43.329803,Amazon Nova Pro 1.0,1241,109.6%,Exact variant match; Strong feature alignment; High string similarity; Same model family,71,Amazon,YES
anthracite-org/magnum-v2-72b,Magnum v2 72B,YES,"From the maker of [Goliath](https://openrouter.ai/models/alpindale/goliath-120b), Magnum 72B is the seventh in a family of models designed to achieve the prose quality of the Claude 3 models, notably Opus & Sonnet.

The model is based on [Qwen2 72B](https://openrouter.ai/models/qwen/qwen-2-72b-instruct) and trained with 55 million tokens of highly curated roleplay (RP) data.",32768,6.0,6.0,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:51.629916,Athene-v2-Chat-72B,1272,73.54%,Exact variant match; Same model family,45,NexusFlow,YES
anthracite-org/magnum-v4-72b,Magnum v4 72B,YES,"This is a series of models designed to replicate the prose quality of the Claude 3 models, specifically Sonnet(https://openrouter.ai/anthropic/claude-3.5-sonnet) and Opus(https://openrouter.ai/anthropic/claude-3-opus).

The model is fine-tuned on top of [Qwen2.5 72B](https://openrouter.ai/qwen/qwen-2.5-72b-instruct).",16384,5.0,6.0,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:48.329890,,,,No confident match found,,,NO
anthropic/claude-2,Anthropic: Claude v2,YES,"Claude 2 delivers advancements in key capabilities for enterprises—including an industry-leading 200K token context window, significant reductions in rates of model hallucination, system prompts and a new beta feature: tool use.",200000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:20.230028,,,,No confident match found,,,NO
anthropic/claude-2.0,Anthropic: Claude v2.0,YES,Anthropic's flagship model. Superior performance on tasks that require complex reasoning. Supports hundreds of pages of text.,100000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:23.230094,,,,No confident match found,,,NO
anthropic/claude-2.0:beta,Anthropic: Claude v2.0 (self-moderated),YES,Anthropic's flagship model. Superior performance on tasks that require complex reasoning. Supports hundreds of pages of text.,100000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:22.930005,,,,No confident match found,,,NO
anthropic/claude-2.1,Anthropic: Claude v2.1,YES,"Claude 2 delivers advancements in key capabilities for enterprises—including an industry-leading 200K token context window, significant reductions in rates of model hallucination, system prompts and a new beta feature: tool use.",200000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:19.630034,,,,No confident match found,,,NO
anthropic/claude-2.1:beta,Anthropic: Claude v2.1 (self-moderated),YES,"Claude 2 delivers advancements in key capabilities for enterprises—including an industry-leading 200K token context window, significant reductions in rates of model hallucination, system prompts and a new beta feature: tool use.",200000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:19.330005,,,,No confident match found,,,NO
anthropic/claude-2:beta,Anthropic: Claude v2 (self-moderated),YES,"Claude 2 delivers advancements in key capabilities for enterprises—including an industry-leading 200K token context window, significant reductions in rates of model hallucination, system prompts and a new beta feature: tool use.",200000,16.0,48.0,NO,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:19.930023,,,,No confident match found,,,NO
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,YES,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-haiku)

#multimodal",200000,0.5,2.5,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:15.130038,Claude 3 Haiku,1176,108.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,106,Anthropic,YES
anthropic/claude-3-haiku:beta,Anthropic: Claude 3 Haiku (self-moderated),YES,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-haiku)

#multimodal",200000,0.5,2.5,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:14.830011,Claude 3.5 Haiku (20241022),1234,104.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,79,Anthropic,YES
anthropic/claude-3-opus,Anthropic: Claude 3 Opus,YES,"Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It boasts top-level performance, intelligence, fluency, and understanding.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)

#multimodal",200000,30.0,150.0,YES,$$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:15.730004,Claude 3 Opus,1244,108.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,71,Anthropic,YES
anthropic/claude-3-opus:beta,Anthropic: Claude 3 Opus (self-moderated),YES,"Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It boasts top-level performance, intelligence, fluency, and understanding.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)

#multimodal",200000,30.0,150.0,YES,$$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:15.430028,,,,No confident match found,,,NO
anthropic/claude-3-sonnet,Anthropic: Claude 3 Sonnet,YES,"Claude 3 Sonnet is an ideal balance of intelligence and speed for enterprise workloads. Maximum utility at a lower price, dependable, balanced for scaled deployments.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:16.229987,Claude 3 Sonnet,1198,108.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,96,Anthropic,YES
anthropic/claude-3-sonnet:beta,Anthropic: Claude 3 Sonnet (self-moderated),YES,"Claude 3 Sonnet is an ideal balance of intelligence and speed for enterprise workloads. Maximum utility at a lower price, dependable, balanced for scaled deployments.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:15.974860,Claude 3.7 Sonnet (thinking-32k),1296,104.12%,Exact variant match; Strong feature alignment; High string similarity; Same model family,27,Anthropic,YES
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,YES,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for dynamic tasks such as chat interactions and immediate coding suggestions.

This makes it highly suitable for environments that demand both speed and precision, such as software development, customer service bots, and data management systems.

This model is currently pointing to [Claude 3.5 Haiku (2024-10-22)](/anthropic/claude-3-5-haiku-20241022).",200000,1.5999999999999999,8.0,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:47.030245,,,,No confident match found,,,NO
anthropic/claude-3.5-haiku-20241022,Anthropic: Claude 3.5 Haiku (2024-10-22),YES,"Claude 3.5 Haiku features enhancements across all skill sets including coding, tool use, and reasoning. As the fastest model in the Anthropic lineup, it offers rapid response times suitable for applications that require high interactivity and low latency, such as user-facing chatbots and on-the-fly code completions. It also excels in specialized tasks like data extraction and real-time content moderation, making it a versatile tool for a broad range of industries.

It does not support image inputs.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/3-5-models-and-computer-use)",200000,1.5999999999999999,8.0,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:47.630429,,,,No confident match found,,,NO
anthropic/claude-3.5-haiku-20241022:beta,Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated),YES,"Claude 3.5 Haiku features enhancements across all skill sets including coding, tool use, and reasoning. As the fastest model in the Anthropic lineup, it offers rapid response times suitable for applications that require high interactivity and low latency, such as user-facing chatbots and on-the-fly code completions. It also excels in specialized tasks like data extraction and real-time content moderation, making it a versatile tool for a broad range of industries.

It does not support image inputs.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/3-5-models-and-computer-use)",200000,1.5999999999999999,8.0,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:47.330015,,,,No confident match found,,,NO
anthropic/claude-3.5-haiku:beta,Anthropic: Claude 3.5 Haiku (self-moderated),YES,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for dynamic tasks such as chat interactions and immediate coding suggestions.

This makes it highly suitable for environments that demand both speed and precision, such as software development, customer service bots, and data management systems.

This model is currently pointing to [Claude 3.5 Haiku (2024-10-22)](/anthropic/claude-3-5-haiku-20241022).",200000,1.5999999999999999,8.0,YES,$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:46.730008,,,,No confident match found,,,NO
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,YES,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:48.777839,Claude 3.5 Sonnet (20241022),1280,108.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,41,Anthropic,YES
anthropic/claude-3.5-sonnet-20240620,Anthropic: Claude 3.5 Sonnet (2024-06-20),YES,"Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Autonomously writes, edits, and runs code with reasoning and troubleshooting
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

For the latest version (2024-10-23), check out [Claude 3.5 Sonnet](/anthropic/claude-3.5-sonnet).

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:04.930004,Claude 3.5 Sonnet (20240620),1265,112.0%,Exact variant match; Strong feature alignment; High string similarity; Same model family,50,Anthropic,YES
anthropic/claude-3.5-sonnet-20240620:beta,Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated),YES,"Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Autonomously writes, edits, and runs code with reasoning and troubleshooting
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

For the latest version (2024-10-23), check out [Claude 3.5 Sonnet](/anthropic/claude-3.5-sonnet).

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 17:00:04.630054,Claude 3.7 Sonnet,1287,97.14%,Exact variant match; Strong feature alignment; High string similarity; Same model family,34,Anthropic,YES
anthropic/claude-3.5-sonnet:beta,Anthropic: Claude 3.5 Sonnet (self-moderated),YES,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

#multimodal",200000,6.0,30.0,YES,$$$,NO,NO,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:48.530023,,,,No confident match found,,,NO
anthropic/claude-3.7-sonnet,Anthropic: Claude 3.7 Sonnet,YES,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",200000,6.0,30.0,YES,$$$,NO,YES,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:28.229962,,,,No confident match found,,,NO
anthropic/claude-3.7-sonnet:beta,Anthropic: Claude 3.7 Sonnet (self-moderated),YES,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",200000,6.0,30.0,YES,$$$,NO,YES,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:28.730039,,,,No confident match found,,,NO
anthropic/claude-3.7-sonnet:thinking,Anthropic: Claude 3.7 Sonnet (thinking),YES,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",200000,6.0,30.0,YES,$$$,NO,YES,NO,1296,2025-05-07 21:34:51.563806,2025-05-24 16:59:28.530003,,,,No confident match found,,,NO
anthropic/claude-opus-4,Anthropic: Claude Opus 4,YES,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without degradation. 

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",200000,30.0,150.0,YES,$$$$,NO,YES,NO,1296,2025-05-22 17:23:16.398599,2025-05-24 16:58:59.730083,,,,No confident match found,,,NO
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,YES,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software development projects. Key enhancements include improved autonomous codebase navigation, reduced error rates in agent-driven workflows, and increased reliability in following intricate instructions. Sonnet 4 is optimized for practical everyday use, providing advanced reasoning capabilities while maintaining efficiency and responsiveness in diverse internal and external scenarios.

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",200000,6.0,30.0,YES,$$$,NO,YES,NO,1296,2025-05-22 17:23:17.297636,2025-05-24 16:59:00.029800,,,,No confident match found,,,NO
arcee-ai/arcee-blitz,Arcee AI: Arcee Blitz,YES,"Arcee Blitz is a 24 B‑parameter dense model distilled from DeepSeek and built on Mistral architecture for ""everyday"" chat. The distillation‑plus‑refinement pipeline trims compute while keeping DeepSeek‑style reasoning, so Blitz punches above its weight on MMLU, GSM‑8K and BBH compared with other mid‑size open models. With a default 128 k context window and competitive throughput, it serves as a cost‑efficient workhorse for summarization, brainstorming and light code help. Internally, Arcee uses Blitz as the default writer in Conductor pipelines when the heavier Virtuoso line is not required. Users therefore get near‑70 B quality at ~⅓ the latency and price. ",32768,0.8999999999999999,1.5,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:04.029787,,,,No confident match found,,,NO
arcee-ai/caller-large,Arcee AI: Caller Large,YES,"Caller Large is Arcee's specialist ""function‑calling"" SLM built to orchestrate external tools and APIs. Instead of maximizing next‑token accuracy, training focuses on structured JSON outputs, parameter extraction and multi‑step tool chains, making Caller a natural choice for retrieval‑augmented generation, robotic process automation or data‑pull chatbots. It incorporates a routing head that decides when (and how) to invoke a tool versus answering directly, reducing hallucinated calls. The model is already the backbone of Arcee Conductor's auto‑tool mode, where it parses user intent, emits clean function signatures and hands control back once the tool response is ready. Developers thus gain an OpenAI‑style function‑calling UX without handing requests to a frontier‑scale model. ",32768,1.1,1.7,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:02.729779,,,,No confident match found,,,NO
